id;origen;final;status;reason;distance;duration
120-15;120;15;200;OK;998.5;163.4
73-52;73;52;200;OK;1440.3;249.9
54-74;54;74;200;OK;2049.1;401.2
131-9;131;9;200;OK;1616.4;264.5
92-167;92;167;200;OK;1128.4;184.6
46-26;46;26;200;OK;1862.7;319.7
160-104;160;104;200;OK;4784.1;797.3
46-16;46;16;200;OK;2530.6;423.8
83-74;83;74;200;OK;1283.9;215.9
125-43;125;43;200;OK;3065.5;505.1
118-142;118;142;200;OK;3898.6;639.1
13-56;13;56;200;OK;2503.4;447.5
85-57;85;57;200;OK;1408.9;239.3
38-106;38;106;200;OK;3677.0;663.1
13-28;13;28;200;OK;1564.7;310.2
160-42;160;42;200;OK;3696.6;608.8
114-127;114;127;200;OK;4490.7;734.8
28-48;28;48;200;OK;1314.4;328.2
150-59;150;59;200;OK;3328.3;577.1
166-12;166;12;200;OK;2932.3;517.3
80-91;80;91;200;OK;2873.0;479.1
129-95;129;95;200;OK;4316.6;731.1
61-33;61;33;200;OK;3229.9;528.5
20-94;20;94;200;OK;2603.2;464.6
19-103;19;103;200;OK;2560.9;451.8
118-138;118;138;200;OK;5540.3;906.5
3-128;3;128;200;OK;3495.7;572.0
32-53;32;53;200;OK;2179.5;380.6
30-95;30;95;200;OK;1365.4;233.0
58-6;58;6;200;OK;324.4;53.1
64-91;64;91;200;OK;1247.6;218.3
85-128;85;128;200;OK;894.2;185.1
166-98;166;98;200;OK;2020.1;342.7
65-161;65;161;200;OK;3607.6;591.8
32-48;32;48;200;OK;1341.0;352.5
132-35;132;35;200;OK;2276.8;382.1
115-67;115;67;200;OK;2266.0;370.8
141-138;141;138;200;OK;1593.9;260.8
48-42;48;42;200;OK;935.1;183.8
13-11;13;11;200;OK;1485.1;244.1
37-43;37;43;200;OK;846.1;184.7
113-58;113;58;200;OK;1328.7;217.4
167-64;167;64;200;OK;2285.2;373.9
115-103;115;103;200;OK;1139.5;186.5
45-78;45;78;200;OK;2360.0;430.9
93-163;93;163;200;OK;1981.1;324.2
10-49;10;49;200;OK;1224.6;231.6
34-42;34;42;200;OK;1759.1;291.3
90-89;90;89;200;OK;2490.3;407.5
22-9;22;9;200;OK;2010.6;337.0
91-56;91;56;200;OK;1002.7;226.3
134-14;134;14;200;OK;3637.1;605.4
149-7;149;7;200;OK;3094.2;507.4
2-174;2;174;200;OK;1540.5;414.6
132-8;132;8;200;OK;2862.0;485.5
78-89;78;89;200;OK;1407.4;259.4
143-164;143;164;200;OK;2303.5;376.9
162-13;162;13;200;OK;2914.6;476.9
63-36;63;36;200;OK;1842.2;406.5
14-58;14;58;200;OK;1350.7;244.4
58-35;58;35;200;OK;2047.2;375.2
144-113;144;113;200;OK;3435.5;564.4
16-24;16;24;200;OK;1224.6;233.1
16-9;16;9;200;OK;1482.3;242.5
69-136;69;136;200;OK;2983.9;488.3
155-147;155;147;200;OK;1886.0;315.3
36-105;36;105;200;OK;3582.9;644.7
104-65;104;65;200;OK;751.8;133.5
117-168;117;168;200;OK;1321.5;216.2
74-79;74;79;200;OK;1213.2;215.6
